"longitude","latitude","housingMedianAge","totalRooms","totalBedrooms","population","households","medianIncome","medianHouseValue"
-122.24,37.85,52,1467,190,496,177,7.2574,352100
-122.26,37.84,42,2555,665,1206,595,2.0804,226700
-122.25,37.84,52,3549,707,1551,714,3.6912,261100
-122.26,37.84,52,696,191,345,174,2.6736,191300
-122.27,37.84,52,1503,298,690,275,2.6033,162900
-122.27,37.85,40,751,184,409,166,1.3578,147500
-122.27,37.84,52,2436,541,1015,478,1.725,113900
-122.27,37.84,52,2224,437,1006,422,2.6,132600
-122.28,37.85,41,535,123,317,119,2.4038,107500
-122.28,37.85,49,1130,244,607,239,2.4597,93800
-122.28,37.84,52,729,160,395,155,1.6875,132000
-122.27,37.83,51,2665,574,1258,536,2.7303,109700
-122.27,37.83,49,1215,282,570,264,1.4861,97200
-122.26,37.83,52,1470,330,689,309,3.48,191400
-122.26,37.84,49,713,202,462,189,1.025,118800
-122.26,37.83,50,1125,322,616,304,2.026,142500
-122.27,37.82,43,1007,312,558,253,1.7348,137500
-122.26,37.82,40,624,195,423,160,0.9506,187500
-122.27,37.82,40,946,375,700,352,1.775,112500
-122.28,37.82,52,945,243,576,220,1.4113,83100
-122.28,37.82,52,1238,288,622,259,1.5057,87500
-122.28,37.82,52,1489,335,728,244,0.8172,85300
-122.29,37.82,2,158,43,94,57,2.5625,60000
-122.29,37.83,52,1121,211,554,187,3.3929,75700
-122.29,37.81,50,760,190,377,122,0.9011,86100
-122.3,37.81,48,828,182,392,133,2.5938,73500
-122.3,37.81,52,1010,209,604,187,1.1667,78400
-122.3,37.81,48,1455,354,788,332,0.8056,84400
-122.29,37.8,52,1027,244,492,147,2.6094,81300
-122.3,37.81,52,572,109,274,82,1.8516,85000
-122.29,37.81,26,768,152,392,127,1.7719,82500
-122.29,37.81,46,935,297,582,277,0.7286,95200
-122.29,37.81,46,12,4,18,7,0.4999,67500
-122.29,37.81,20,835,161,290,133,2.483,137500
-122.28,37.81,17,1237,462,762,439,0.9241,177500
-122.28,37.8,38,684,176,344,155,2.0114,131300
-122.28,37.81,17,924,289,609,289,1.5,162500
-122.28,37.81,52,340,97,200,87,1.5208,112500
-122.28,37.81,35,948,184,467,169,1.8088,118800
-122.27,37.81,10,875,348,546,330,0.76,162500
-122.27,37.8,16,994,392,800,362,2.0938,162500
-122.27,37.8,39,1715,623,1327,467,1.8477,179200
-122.26,37.8,36,5329,2477,3469,2323,2.0096,130000
-122.26,37.82,31,4596,1331,2048,1180,2.8345,183800
-122.26,37.81,29,335,107,202,91,2.0062,125000
-122.26,37.82,22,3682,1270,2024,1250,1.2185,170000
-122.25,37.81,29,4656,1414,2304,1250,2.4912,257800
-122.25,37.81,28,5806,1603,2563,1497,3.2177,273400
-122.25,37.81,39,854,242,389,228,3.125,237500
-122.26,37.81,34,5871,1914,2689,1789,2.8406,335700
-122.24,37.82,52,1509,225,674,244,4.9306,313400
-122.25,37.81,52,1758,460,686,422,3.1691,259400
-122.25,37.82,28,3337,855,1520,802,3.9063,225000
-122.25,37.82,32,3809,1098,1806,1022,2.6429,218500
-122.25,37.82,26,3959,1196,1749,1217,3.0233,255000
-122.25,37.83,52,1279,287,534,291,3.1429,231600
-122.25,37.83,28,5022,1750,2558,1661,2.4234,218500
-122.23,37.84,50,2515,399,970,373,5.8596,327600
-122.24,37.85,37,334,54,98,47,4.9643,335000
-122.23,37.85,52,2800,411,1061,403,6.3434,373600
-122.24,37.84,52,3529,574,1177,555,5.1773,389500
-122.19,37.84,18,1617,210,533,194,11.6017,392600
-122.21,37.83,34,5065,788,1627,766,6.8976,333300
-122.2,37.83,26,1589,223,542,211,8.401,351200
-122.19,37.83,29,1791,271,661,269,6.8538,368900
-122.2,37.82,39,3770,534,1265,500,6.3302,362800
-122.21,37.82,52,2375,333,813,350,7.0549,331400
-122.21,37.8,50,2833,605,1260,552,2.8929,216700
-122.21,37.81,52,1389,212,510,224,5.2402,296400
-122.22,37.8,52,2286,464,1073,441,3.0298,199600
-122.22,37.8,52,2721,541,1185,515,4.5428,239800
-122.22,37.81,52,2944,536,1034,521,5.3509,302100
-122.23,37.81,52,2315,292,861,258,8.8793,410300
-122.24,37.81,52,1490,238,634,256,6.0302,287300
-122.24,37.81,52,2093,550,918,483,2.7477,243800
-122.24,37.8,52,888,168,360,175,2.1944,211500
-122.25,37.8,41,1471,469,1062,413,1.6121,171400
-122.25,37.79,45,1786,526,1475,460,1.7772,97500
-122.25,37.79,52,1339,391,1086,363,2.181,138800
-122.24,37.8,52,996,228,731,228,2.2697,127000
-122.24,37.8,52,1591,373,1118,347,2.1563,128600
-122.24,37.8,47,2046,588,1213,554,2.6292,182700
-122.23,37.8,52,1192,289,772,257,2.3833,146900
-122.24,37.8,49,2838,749,1487,677,2.5238,169300
-122.23,37.8,52,783,184,488,186,1.9375,126600
-122.23,37.8,51,1590,414,949,392,1.9028,127900
-122.23,37.79,52,1783,395,1659,412,2.9357,107900
-122.23,37.79,30,999,264,1011,263,1.8854,137500
-122.25,37.79,51,175,43,228,55,2.1,75000
-122.25,37.79,52,902,237,846,227,3.625,125000
-122.26,37.8,20,2373,779,1659,676,1.6929,115000
-122.23,37.77,52,769,206,612,183,2.57,72000
-122.23,37.78,44,2340,825,2813,751,1.6009,118100
-122.23,37.79,48,1696,396,1481,343,2.0375,122500
-122.23,37.79,49,1175,217,859,219,2.293,106300
-122.23,37.79,40,930,199,564,184,1.3281,113300
-122.22,37.79,52,3424,690,2273,685,3.9048,164700
-122.22,37.79,38,3049,711,2167,659,2.7969,141700
-122.21,37.79,47,1543,307,859,292,2.9583,138800
-122.21,37.79,34,2364,557,1517,516,2.8365,139200
-122.21,37.79,35,1745,409,1143,386,2.875,143800
-122.21,37.8,39,2003,500,1109,464,3.0682,156500
-122.2,37.8,43,3045,499,1115,455,4.9559,273000
